,suite_id,sample_id,code,value,character
0,56,10,2,1,一
1,75,7,2,1,一
2,76,1,2,1,一
3,69,1,2,1,一
4,46,10,2,1,一
5,7,8,2,1,一
6,65,6,2,1,一
7,55,3,2,1,一
8,86,9,2,1,一
9,20,6,2,1,一
10,82,10,2,1,一
11,15,6,2,1,一
12,66,6,2,1,一
13,97,3,2,1,一
14,93,8,2,1,一
15,9,9,2,1,一
16,34,1,2,1,一
17,89,3,2,1,一
18,78,10,2,1,一
19,37,9,2,1,一
20,58,9,2,1,一
21,24,4,2,1,一
22,42,10,2,1,一
23,56,7,2,1,一
24,28,1,2,1,一
25,3,5,2,1,一
26,18,10,2,1,一
27,98,6,2,1,一
28,90,2,2,1,一
29,94,7,2,1,一
30,4,6,2,1,一
31,20,9,2,1,一
32,65,10,2,1,一
33,53,9,2,1,一
34,42,1,2,1,一
35,26,8,2,1,一
36,70,7,2,1,一
37,61,4,2,1,一
38,90,10,2,1,一
39,13,9,2,1,一
40,38,8,2,1,一
41,17,6,2,1,一
42,37,2,2,1,一
43,97,4,2,1,一
44,35,9,2,1,一
45,33,7,2,1,一
46,92,4,2,1,一
47,63,10,2,1,一
48,48,9,2,1,一
49,84,7,2,1,一
50,60,1,2,1,一
51,88,9,2,1,一
52,32,10,2,1,一
53,60,8,2,1,一
54,100,3,2,1,一
55,11,1,2,1,一
56,64,7,2,1,一
57,10,1,2,1,一
58,29,10,2,1,一
59,83,1,2,1,一
60,35,6,2,1,一
61,13,4,2,1,一
62,58,2,2,1,一
63,27,9,2,1,一
64,63,4,2,1,一
65,71,2,2,1,一
66,69,2,2,1,一
67,87,6,2,1,一
68,15,1,2,1,一
69,58,3,2,1,一
70,18,7,2,1,一
71,53,3,2,1,一
72,62,1,2,1,一
73,76,10,2,1,一
74,35,2,2,1,一
75,34,9,2,1,一
76,68,2,2,1,一
77,11,9,2,1,一
78,61,9,2,1,一
79,36,7,2,1,一
80,7,9,2,1,一
81,14,6,2,1,一
82,33,5,2,1,一
83,14,7,2,1,一
84,37,8,2,1,一
85,58,8,2,1,一
86,99,8,2,1,一
87,73,4,2,1,一
88,77,3,2,1,一
89,38,7,2,1,一
90,43,2,2,1,一
91,5,10,2,1,一
92,56,2,2,1,一
93,28,8,2,1,一
94,8,7,2,1,一
95,48,6,2,1,一
96,78,4,2,1,一
97,16,8,2,1,一
98,14,3,2,1,一
99,83,6,2,1,一
100,73,6,2,1,一
101,40,10,2,1,一
102,93,6,2,1,一
103,31,6,2,1,一
104,66,5,2,1,一
105,67,4,2,1,一
106,59,4,2,1,一
107,95,9,2,1,一
108,23,8,2,1,一
109,91,7,2,1,一
110,56,8,2,1,一
111,83,3,2,1,一
112,98,5,2,1,一
113,82,6,2,1,一
114,16,6,2,1,一
115,48,2,2,1,一
116,25,4,2,1,一
117,97,8,2,1,一
118,57,4,2,1,一
119,35,4,2,1,一
120,9,2,2,1,一
121,47,5,2,1,一
122,73,3,2,1,一
123,32,1,2,1,一
124,3,7,2,1,一
125,59,9,2,1,一
126,61,3,2,1,一
127,49,5,2,1,一
128,87,7,2,1,一
129,81,1,2,1,一
130,62,9,2,1,一
131,85,9,2,1,一
132,32,5,2,1,一
133,99,5,2,1,一
134,56,9,2,1,一
135,13,5,2,1,一
136,2,1,2,1,一
137,28,5,2,1,一
138,100,5,2,1,一
139,15,2,2,1,一
140,12,4,2,1,一
141,30,7,2,1,一
142,74,10,2,1,一
143,34,10,2,1,一
144,9,3,2,1,一
145,91,4,2,1,一
146,82,1,2,1,一
147,30,4,2,1,一
148,83,2,2,1,一
149,38,10,2,1,一
150,67,3,2,1,一
151,22,8,2,1,一
152,97,7,2,1,一
